FileName,ClassName,Category,Type,HasExampleMethod,FilePath
PayBenReportRequest.cs,PayBenReportRequest,PayBen,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/PayBen/PayBenReportRequest.cs
PayServicesRequest.cs,PayServicesRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/PayServicesRequest.cs
ProfitShareUpdateRequest.cs,ProfitShareUpdateRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitShareUpdateRequest.cs
ProfitSharingAdjustmentRowRequest.cs,ProfitSharingAdjustmentRowRequest,ProfitDetails,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitDetails/ProfitSharingAdjustmentRowRequest.cs
ProfitSharingReportValidationRequest.cs,ProfitSharingReportValidationRequest,Validation,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Validation/ProfitSharingReportValidationRequest.cs
ProfitYearAndAsOfDateRequest.cs,ProfitYearAndAsOfDateRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitYearAndAsOfDateRequest.cs
ProfitYearRequest.cs,ProfitYearRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitYearRequest.cs
RecipientBeneficiary.cs,RecipientBeneficiary,Beneficiaries,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/RecipientBeneficiary.cs
SaveProfitSharingAdjustmentsRequest.cs,SaveProfitSharingAdjustmentsRequest,ProfitDetails,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitDetails/SaveProfitSharingAdjustmentsRequest.cs
SearchBy.cs,SearchBy,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SearchBy.cs
SetExecutiveHoursAndDollarsDto.cs,SetExecutiveHoursAndDollarsDto,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SetExecutiveHoursAndDollarsDto.cs
SetExecutiveHoursAndDollarsRequest.cs,SetExecutiveHoursAndDollarsRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SetExecutiveHoursAndDollarsRequest.cs
SetFrozenStateRequest.cs,SetFrozenStateRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SetFrozenStateRequest.cs
SimpleRequest.cs,SimpleRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SimpleRequest.cs
StartAndEndDateRequest.cs,StartAndEndDateRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/StartAndEndDateRequest.cs
StateTaxLookupRequest.cs,StateTaxLookupRequest,Lookups,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Lookups/StateTaxLookupRequest.cs
SuggestedForfeitureAdjustmentRequest.cs,SuggestedForfeitureAdjustmentRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/SuggestedForfeitureAdjustmentRequest.cs
TerminatedEmployeesWithBalanceBreakdownRequest.cs,TerminatedEmployeesWithBalanceBreakdownRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/TerminatedEmployeesWithBalanceBreakdownRequest.cs
TerminatedLettersRequest.cs,TerminatedLettersRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/TerminatedLettersRequest.cs
ThirdPartyPayee.cs,ThirdPartyPayee,Distributions,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Distributions/ThirdPartyPayee.cs
UpdateAnnuityRateRequest.cs,UpdateAnnuityRateRequest,ItOperations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ItOperations/UpdateAnnuityRateRequest.cs
UpdateBeneficiaryContactRequest.cs,UpdateBeneficiaryContactRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/UpdateBeneficiaryContactRequest.cs
UpdateBeneficiaryRequest.cs,UpdateBeneficiaryRequest,Beneficiaries,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Beneficiaries/UpdateBeneficiaryRequest.cs
UpdateCommentTypeRequest.cs,UpdateCommentTypeRequest,Administration,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Administration/UpdateCommentTypeRequest.cs
UpdateDistributionRequest.cs,UpdateDistributionRequest,Distributions,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Distributions/UpdateDistributionRequest.cs
UpdateNavigationRequestDto.cs,UpdateNavigationRequestDto,Navigations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Navigations/UpdateNavigationRequestDto.cs
UpdateStateTaxRateRequest.cs,UpdateStateTaxRateRequest,ItOperations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ItOperations/UpdateStateTaxRateRequest.cs
UserSyncRequestDto.cs,UserSyncRequestDto,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/UserSyncRequestDto.cs
ValidateReportFieldsRequest.cs,ValidateReportFieldsRequest,Validation,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Validation/ValidateReportFieldsRequest.cs
WagesCurrentYearRequest.cs,WagesCurrentYearRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/WagesCurrentYearRequest.cs
YearEndProfitSharingReportRequest.cs,YearEndProfitSharingReportRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/YearEndProfitSharingReportRequest.cs
YearRangeRequest.cs,YearRangeRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/YearRangeRequest.cs
YearRequest.cs,YearRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/YearRequest.cs
YearRequestWithRebuild.cs,YearRequestWithRebuild,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/YearRequestWithRebuild.cs
AccountHistoryReportPaginatedResponse.cs,AccountHistoryReportPaginatedResponse,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AccountHistoryReportPaginatedResponse.cs
AccountHistoryReportResponse.cs,AccountHistoryReportResponse,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AccountHistoryReportResponse.cs
AccountHistoryReportTotals.cs,AccountHistoryReportTotals,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AccountHistoryReportTotals.cs
AddressResponseDto.cs,AddressResponseDto,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AddressResponseDto.cs
AdhocBeneficiariesReportResponse.cs,AdhocBeneficiariesReportResponse,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AdhocBeneficiariesReportResponse.cs
AdhocTerminatedEmployeeResponse.cs,AdhocTerminatedEmployeeResponse,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AdhocTerminatedEmployeeResponse.cs
AdjustmentsSummaryDto.cs,AdjustmentsSummaryDto,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/AdjustmentsSummaryDto.cs
AnnuityRateDto.cs,AnnuityRateDto,ItOperations,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/ItOperations/AnnuityRateDto.cs
